source,category,activity,confidence,last_updated,name,intention,first_seen,metadata,tor,rdns_parent,link,org,os,asn,rdns
,worm,,high,2019-05-31T10:34:16Z,ETERNAL_MS17_010,malicious,2019-05-17T05:08:47Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,high,2019-05-31T04:20:50Z,EQUATIONGROUP_ETERNAL_MS17_010,malicious,2019-05-17T05:09:00Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,low,2019-05-31T04:20:40Z,SMB_SCANNER_HIGH,,2019-05-13T07:23:05Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,high,2019-05-31T04:20:37Z,ETERNAL_MS17_010,malicious,2019-05-17T05:08:47Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,high,2019-05-31T02:47:21Z,EQUATIONGROUP_ETERNAL_MS17_010,malicious,2019-05-17T05:09:00Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,activity,,high,2019-05-31T02:47:11Z,SMB_SCANNER_HIGH,,2019-04-08T05:31:03Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,high,2019-05-31T02:47:08Z,ETERNAL_MS17_010,malicious,2019-05-17T05:08:47Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,high,2019-05-28T06:32:52Z,EQUATIONGROUP_ETERNAL_MS17_010,malicious,2019-05-17T05:09:00Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,low,2019-05-28T06:32:42Z,SMB_SCANNER_HIGH,,2019-05-13T07:23:05Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,high,2019-05-28T06:32:39Z,ETERNAL_MS17_010,malicious,2019-05-17T05:08:47Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
